Period(ms),Service,Operation
968,HomeLoanService,HomeLoanWS/doPreload/post-approve-010/summary-result
480,HomeLoanService,HomeLoanWS/doPreload/post-approve-010/verify-document
418,HomeLoanService,HomeLoanWS/doPreload/post-approve-010/verify-income
10,HomeLoanService,HomeLoanWS/doPreload/prepare-010/basic-repayment-ability
147,HomeLoanService,HomeLoanWS/doPreload/prepare-010/cust-info
151,HomeLoanService,HomeLoanWS/doPreload/prepare-011/summary-result
17,HomeLoanService,HomeLoanWS/doPreload/prepare-012/basic-repayment-ability
233,HomeLoanService,HomeLoanWS/doPreload/prepare-012/cust-info
464,HomeLoanService,HomeLoanWS/doPreload/prepare-012/summary-result
325,HomeLoanService,HomeLoanWS/doPreload/prepare-013/summary-result
20,HomeLoanService,HomeLoanWS/doPreload/prepare-020/basic-repayment-ability
1258,HomeLoanService,HomeLoanWS/doPreload/prepare-020/cust-info
282,HomeLoanService,HomeLoanWS/doPreload/prepare-020/income
323,HomeLoanService,HomeLoanWS/doPreload/prepare-020/loan-info
235,HomeLoanService,HomeLoanWS/doPreload/prepare-020/personal-info
40,HomeLoanService,HomeLoanWS/doPreload/prepare-021/basic-repayment-ability
313,HomeLoanService,HomeLoanWS/doPreload/prepare-021/cust-info
348,HomeLoanService,HomeLoanWS/doPreload/prepare-021/income
473,HomeLoanService,HomeLoanWS/doPreload/prepare-021/loan-info
515,HomeLoanService,HomeLoanWS/doPreload/prepare-021/package
426,HomeLoanService,HomeLoanWS/doPreload/prepare-021/personal-info
541,HomeLoanService,HomeLoanWS/doPreload/prepare-021/summary-package
559,HomeLoanService,HomeLoanWS/doPreload/prepare-022/loan-info
538,HomeLoanService,HomeLoanWS/doPreload/prepare-022/personal-info
769,HomeLoanService,HomeLoanWS/doPreload/prepare-022/summary-package
2149,HomeLoanService,HomeLoanWS/doPreload/prepare-030/basic-repayment-ability
221,HomeLoanService,HomeLoanWS/doPreload/prepare-030/cust-info
344,HomeLoanService,HomeLoanWS/doPreload/prepare-030/income
461,HomeLoanService,HomeLoanWS/doPreload/prepare-030/loan-info
229,HomeLoanService,HomeLoanWS/doPreload/prepare-030/personal-info
49,HomeLoanService,HomeLoanWS/doPreload/prepare-030/sale-channel
627,HomeLoanService,HomeLoanWS/doPreload/prepare-030/summary-package
1234,HomeLoanService,HomeLoanWS/doPreload/prepare-030/summary-result
2374,HomeLoanService,HomeLoanWS/doPreload/prepare-040/approve-result-front
460,HomeLoanService,HomeLoanWS/doPreload/prepare-040/credit-limit-detail
2078,HomeLoanService,HomeLoanWS/doPreload/prepare-040/debt-exposure
1914,HomeLoanService,HomeLoanWS/doPreload/prepare-040/partial-installment
14,HomeLoanService,HomeLoanWS/doPreload/system-011/basic-repayment-ability
219,HomeLoanService,HomeLoanWS/doPreload/system-011/cust-info
189,HomeLoanService,HomeLoanWS/doPreload/system-011/summary-result
432,HomeLoanService,HomeLoanWS/doPreload/system-012/summary-result
277,HomeLoanService,HomeLoanWS/doPreload/system-013/cust-info
242,HomeLoanService,HomeLoanWS/doPreload/system-013/loan-info
329,HomeLoanService,HomeLoanWS/doPreload/system-013/summary-package
1012,HomeLoanService,HomeLoanWS/doPreload/system-013/summary-result
1594,HomeLoanService,HomeLoanWS/doPreload/system-015/approve-result-front
1058,HomeLoanService,HomeLoanWS/doPreload/system-015/approve-summary
68,HomeLoanService,HomeLoanWS/doPreload/system-015/basic-repayment-ability
331,HomeLoanService,HomeLoanWS/doPreload/system-015/cust-info
535,HomeLoanService,HomeLoanWS/doPreload/system-015/income
636,HomeLoanService,HomeLoanWS/doPreload/system-015/loan-info
353,HomeLoanService,HomeLoanWS/doPreload/system-015/personal-info
739,HomeLoanService,HomeLoanWS/doPreload/system-015/summary-package
